Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-Apr-00,135.1,156.85,134.1,155,150.2458597,4644937,14516,697882553,,,22.75,19.9
18-Apr-00,155.25,160,149,152,152.8801777,1234194,5957,188683798,,,11,-3.25
19-Apr-00,153.5,156,144.65,148.5,149.6191844,1046202,4861,156531890,,,11.35,-5
20-Apr-00,148,148,139,143.85,142.6545294,1288671,5448,183834755,,,9,-4.15
20-Apr-00,143,143,143,143,143,5800,1,829400,,,0,0
24-Apr-00,149.9,152.85,143.5,144.95,148.4005667,1075736,5598,159639832,,,9.35,-4.95
25-Apr-00,144.2,144.2,135,139.9,139.2627004,1414798,6216,197028590,,,9.2,-4.3
26-Apr-00,142,150.75,139.9,149,146.7435019,1619505,6747,237651835,,,10.85,7
27-Apr-00,149,149,140.55,142.7,144.1567107,786379,3808,113361810,,,8.45,-6.3
28-Apr-00,143.45,143.5,138.6,139,140.5402018,828185,3528,116393287,,,4.9,-4.45
2-May-00,142.15,144.8,128,128.7,133.162593,1001181,5022,133319858,,,16.8,-13.45
3-May-00,128,131.45,124.5,129.7,129.4638741,1046644,4257,135502587,,,6.95,1.7
4-May-00,129,130.25,122.6,125.85,126.9194532,1379409,6574,175073836,,,7.65,-3.15
5-May-00,126.5,128.4,120,124.1,124.4785381,1876300,8006,233559081,,,8.4,-2.4
8-May-00,125,127.3,122.65,123,124.6882622,690622,3630,86112457,,,4.65,-2
9-May-00,123,128.95,115.5,126.95,123.634191,2345735,9300,290013049,,,13.45,3.95
10-May-00,127,128.85,120.1,120.65,123.2357187,857713,4335,105700878,,,8.75,-6.35
11-May-00,120,122.85,116,120.2,120.0888211,730964,4205,87780605,,,6.85,0.2
12-May-00,120.5,122,111.75,112.6,116.1996345,1047765,4758,121749910,,,10.25,-7.9
15-May-00,118.35,118.35,108.5,111.5,111.1948353,632678,3882,70350526,,,9.85,-6.85
16-May-00,112,114.4,110.25,110.5,112.0166534,722433,3726,80924527,,,4.15,-1.5
17-May-00,112,113.9,109.1,110.8,112.0948595,470169,2597,52703528,,,4.8,-1.2
18-May-00,111,112.5,107.2,108.6,109.7478952,417489,2566,45818539,,,5.3,-2.4
19-May-00,107.35,108.5,105.75,106.2,107.074028,636043,3471,68103686,,,2.75,-1.15
22-May-00,105,107.35,95.5,96.8,101.3966273,985371,5135,99913296,,,11.85,-8.2
23-May-00,97.5,102.5,96,99.5,99.14667161,1000364,5632,99182761,,,6.5,2
24-May-00,99,108,97,106.45,104.4806838,1647992,6995,172183331,,,11,7.45
25-May-00,106.9,115.5,106.75,114.4,112.8081498,1957991,7011,220877342,,,8.75,7.5
26-May-00,114,126,113,125.5,119.1668296,2235550,8259,266403406,,,13,11.5
29-May-00,128.4,130,123,124,126.3856834,1580182,7970,199712382,,,7,-4.4
30-May-00,125,125,118.5,120.9,121.0440219,1728073,7769,209172906,,,6.5,-4.1
31-May-00,122,123.85,112.2,113.5,117.7754426,2029379,8687,239011010,,,11.65,-8.5
31-May-00,116,116,116,116,116,1000000,1,116000000,,,0,0
1-Jun-00,108,108,108,108,108,18600,1,2008800,,,0,0
1-Jun-00,112.25,113.2,103,109.2,108.2594503,2365143,10161,256049081,,,10.2,-3.05
2-Jun-00,107,112,107,110.7,110.1506277,1235616,5853,136103878,,,5,3.7
5-Jun-00,113,117.95,112.6,113.05,115.1415436,1458173,6295,167896290,,,5.35,0.05
6-Jun-00,114,114.35,110,112,112.0324229,788023,3739,88284126,,,4.35,-2
7-Jun-00,111.7,114.45,111.2,112.3,113.003642,489836,2907,55353252,,,3.25,0.6
8-Jun-00,113,118,112.2,117.15,116.0086219,1095814,5347,127123872,,,5.8,4.15
9-Jun-00,118,122.2,116.5,117.65,118.9644526,1474875,5980,175457697,,,5.7,-0.35
12-Jun-00,120,123.4,118.55,119.65,120.8947343,1285328,5796,155389387,,,4.85,-0.35
13-Jun-00,119,122,118.3,120.3,119.875558,840528,4201,100758763,,,3.7,1.3
14-Jun-00,120.5,126.8,120.5,123.1,124.3447001,2312291,8433,287521131,,,6.3,2.6
15-Jun-00,123.3,124.8,121.15,121.6,122.6790616,597504,3196,73301230,,,3.65,-1.7
16-Jun-00,121.5,123,119.1,122.7,121.7595661,988621,4338,120374064,,,3.9,1.2
19-Jun-00,124.95,126.7,121.5,122.5,124.1233105,2005953,6838,248985527,,,5.2,-2.45
20-Jun-00,123.9,125,118,119.55,120.7729734,1962704,7603,237041598,,,7,-4.35
21-Jun-00,119.9,120.8,115.5,115.9,118.3333611,961765,4354,113808885,,,5.3,-4
22-Jun-00,116.4,117.3,114,116.8,115.7039192,640923,3442,74157303,,,3.3,0.4
23-Jun-00,116,119.5,115.1,116,117.2978455,1224336,5198,143611975,,,4.4,0
26-Jun-00,114.6,117.75,114,116.2,116.42691,459242,2416,53468127,,,3.75,1.6
27-Jun-00,116.6,121,116,118.15,118.9221116,982585,4285,116851083,,,5,1.55
28-Jun-00,118.85,120,117.3,117.95,118.320772,651631,2732,77101483,,,2.7,-0.9
29-Jun-00,118.75,123.5,118.2,122,121.4409131,2760299,9251,335213231,,,5.3,3.25
30-Jun-00,122.1,122.8,117.5,117.95,119.6278668,1260245,4627,150760421,,,5.3,-4.15
3-Jul-00,120,125,118.6,120.7,120.7902537,1216193,4725,146904261,,,6.4,0.7
4-Jul-00,121.1,128,120.75,127,124.584936,3586302,11002,446799205,,,7.25,5.9
5-Jul-00,127.75,133.25,127,127.3,130.1745145,4256570,13302,554096933,,,6.25,-0.45
6-Jul-00,126.15,128.7,124.8,125.2,126.3741887,1259295,5185,159142384,,,3.9,-0.95
7-Jul-00,125.9,131.25,125,129.45,128.0308754,2148957,6604,275132846,,,6.25,3.55
10-Jul-00,131.8,134.4,128.7,129.85,132.05796,4232731,12331,558965821,,,5.7,-1.95
11-Jul-00,130.4,132.15,128,130.35,130.3184161,1788273,7275,233044905,,,4.15,-0.05
12-Jul-00,130.9,136.8,130.05,136.15,133.4960014,2990915,8686,399275193,,,6.75,5.25
13-Jul-00,136.9,138.4,132,132.25,135.9169168,1834198,7069,249298537,,,6.4,-4.65
14-Jul-00,133,135.85,130.6,134,133.7339293,2315020,6958,309596721,,,5.25,1
17-Jul-00,136,139.9,134.5,139.3,137.6635694,2688471,9904,370104514,,,5.4,3.3
18-Jul-00,139,140.9,136.4,137.55,138.4130912,1466986,5947,203050067,,,4.5,-1.45
19-Jul-00,136.5,137.5,129.55,132.1,132.7766108,2952945,9280,392082029,,,7.95,-4.4
20-Jul-00,132.3,133.6,123.05,126.1,128.0532035,3040683,9007,389369199,,,10.55,-6.2
21-Jul-00,127.2,128.5,120.6,121.35,124.6730152,1822516,6326,227218565,,,7.9,-5.85
24-Jul-00,117,120,107,110.1,114.4742571,2277073,7393,260666240,,,13,-6.9
25-Jul-00,109,117.4,106.1,114.85,112.6298737,2142358,9783,241293511,,,11.3,5.85
26-Jul-00,116,119,106.25,107.45,112.7032166,2524949,9380,284569874,,,12.75,-8.55
